username: haileyS
password: Run4C
haileyS.shoppingcart green,24,209.99,209.99,JoyStar,false, Is a class looking cruiser bike,Bob,1,false,1090
haileyS.shoppingcart pink,20,189.99,360.99,RoyalBaby Stargirl,false,Fashionable design and classic color matching,Bob,2,false,1101
haileyS.purchasehistory green,26,1499.00,1499.00,VNUVCOE Electric Bike,false,Normal Bike Mode & Pedal Assist Mode,BikesAreCool,1,false,2102
***********
username: cJoslin
password: cmj32
cJoslin.purchasehistory purple,20,249.99,249.99,Joystar Mountain Bike,false,This bike is designed for kids seven to thirteen,BikesAreCool,1,false,2117
cJoslin.purchasehistory blue,26,299.99,349.99,Firmstrong Urban,false,single-speed cruiser bike for easy relaxed riding,Bob,1,true,1078
cJoslin.purchasehistory red,25,329.99,329.99,Royce Union RMY,false,the durable lightweight aluminum frame is easy to handle and will never rust,BikesAreCool,1,false,1080
cJoslin.purchasehistory blue,26,299.99,349.99,Firmstrong Urban,false,single-speed cruiser bike for easy relaxed riding,Bob,1,true,1078
***********
username: c9sug
password: cmj45
***********
